source_id,recommended_storage,active_evidence_layers,direct_pdf_rag,derivation_decision,high_value_pages,required_transformation,blocked_or_excluded,approval_or_currency_gate
20100527-ra-10121-gma,reference,POLICY_OR_THESIS_BACKGROUND;ADULT_HANDOFF_OR_DASHBOARD,NO,NONRUNTIME_REFERENCE,"p3-p7;p12-p16;p21-p26","Use governance people-centered warning vulnerable-group and education concepts only","Legal boilerplate; no direct learner command",Current national and local DRRM policy review
2015-national-disaster-preparedness-plan-2015-2018-vol-1,reference,POLICY_OR_THESIS_BACKGROUND;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE,NO,NONRUNTIME_REFERENCE,"p13-p15;p40-p58;p59-p79;p96-p99","Convert risk-assessed planning scenario phases IEC EWS evacuation continuity and M&E concepts into architecture and review requirements","Old workplans agency assignments funding and any unverified live operational rule","Verify current status and reconcile with NDRRMP 2020-2030 current agency issuances and local plans"
dilg-memo-no-2015-76-early-preparedness-actions-to-reduce-disaster-risks,reference,POLICY_OR_THESIS_BACKGROUND;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE,NO,NONRUNTIME_REFERENCE,"p1-p4;p5 signs","Convert authority EWS route center drill and coordination duties into local-configuration and dashboard requirements","Old office assignments staffing procurement rescue gauge operation and any implied live status",Current DILG OCD local DRRMO school plan and sign standards
disaster-preparedness-typhoon-0,reference,POLICY_OR_THESIS_BACKGROUND,NO,BACKGROUND_ONLY,p2,"Retain calm monitor official information drill and follow-authority concepts as corroboration","Obsolete cyclone categories; guy wires; inspection; utility work",Current PAGASA terminology and local DRRMO
dti-disaster-preparedness-and-management-operations-manual,archive,EXCLUDED,NO,EXCLUDE,None,None,"DTI business continuity price monitoring logistics and agency operations",None unless CALM scope expands to agency operations
dti-disaster-preparedness-and-management-operations-manual1,archive,EXCLUDED,NO,DUPLICATE,None,None,Exact byte-for-byte duplicate of the other DTI manual,None
earthquake-drill,reference,DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE,NO,NONRUNTIME_REFERENCE,p1-p2,"Retain alarm protect evacuate assemble and headcount sequence; express learner steps atomically","Doorway advice; door handling during shaking; old density and go-bag rules",Current PHIVOLCS DepEd and local school review
fire-safety-guidelines-on-different-types-of-occupancy-volume-2,reference,SCENARIO_DESIGN_REFERENCE;ADULT_HANDOFF_OR_DASHBOARD,NO,NONRUNTIME_REFERENCE,"p23-p37;p191","Convert exit alarm accessibility and drill requirements into Unity and dashboard acceptance checks","Engineering tables; equipment operation; inspections; compliance workflows",Current BFP fire-safety engineer and actual deployment floor plan
iecs-for-7-2-earthquake-preparedness-1,approved,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;SCENARIO_DESIGN_REFERENCE,NO,CURATED_DERIVATION,"p1;p5-p7","Create short phase-specific learner cards and role-gate kit preparation","Adult utility first aid medicine knife candle and static contacts",PHIVOLCS DepEd Grade4 language and local school review
lrmds-sdrr-manual-book-1,reference,ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE;POLICY_OR_THESIS_BACKGROUND,NO,NONRUNTIME_REFERENCE,"p2;p10-p11;p15-p18;p21-p29","Turn mapping routes warnings learning design and review duties into configuration and dashboard requirements","Adult implementation; old contacts; duplicated hidden text layer",Current DepEd local DRRMO and school plan
ndrrmc-memo-no-54-s-2020-covid19-preparedness-during-rainy-season,archive,POLICY_OR_THESIS_BACKGROUND;SCENARIO_DESIGN_REFERENCE,NO,BACKGROUND_ONLY,"p1-p4 historical compound-hazard context","Use only as a future test that a health emergency constrains resources reporting staffing and evacuation capacity","2020 distancing mask stay-home QRF and bleach instructions; all learner retrieval",Reconsider only with current DOH and LGU review if a health-emergency module is approved
ocd-disaster-preparedness-guidebook,approved,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD,NO,CURATED_DERIVATION,"p3-p5;p7-p8;p10-p11","Split by hazard phase setting and actor; make utilities suppression repair and first aid adult-only","Stale contacts; unrelated hazards; unsafe flood-depth implication; adult tasks",BFP PHIVOLCS PAGASA child-safety and local review
ocd-earthquake-preparedness,reference,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;POLICY_OR_THESIS_BACKGROUND,NO,NONRUNTIME_REFERENCE,p1-p2,"Use only as corroboration for earthquake protection and child-safe preparation","Vehicle-exit claim; adult repairs utilities first aid; stale contacts",Current PHIVOLCS review
philippines-04-irr-of-fire-code-of-the-philippines-2008-irr,archive,SCENARIO_DESIGN_REFERENCE;POLICY_OR_THESIS_BACKGROUND,NO,BACKGROUND_ONLY,"p102;p148-p159;p228-p233","Convert legal exit alarm drill assembly and headcount duties into developer and staff checks","Obsolete legal requirements; pupil assistance language; any learner suppression",Verify against BFP Revised RIRR 2019 and local BFP
unicef-ph-typhoon,approved,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD,NO,CURATED_DERIVATION,p3-p13,"Keep child role family plan emotional check-in and safe preparation; assign custody items to adults","Money records medicine matches candles and browser-print boilerplate",PAGASA PHIVOLCS Grade4 and language-equivalence review
volume-1-fire-safety-for-children,approved,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD,NO,CURATED_DERIVATION,"p195-p241 selected;p210-p213;p279","Use one action per sentence with explicit adult handoff; derive alarm evacuation low-crawl SDR assembly and stay-out rules","Extinguisher and suppression lessons; pet rescue; live flame; p202 p243 p284 p296 p304 p322-p325 quiz material",BFP DepEd/local DRRMO Grade4 and language review
volume-2-fire-safety-for-teenagers,reference,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE,NO,NONRUNTIME_REFERENCE,"p47-p56;p167-p181","Convert hazard correction into move-away do-not-touch and tell-an-adult semantics","p85-p166 suppression; wet-cloth cooking-fire advice; p219-p226 live-fire exercises",BFP electrical/fire-safety Grade4 and local review
volume-3-fire-safety-for-young-adults,reference,LEARNER_DERIVABLE;DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE,NO,NONRUNTIME_REFERENCE,"p109-p132;p409-p426;p455;p463","Role-shift planning sweep assistance and headcount to adults; retain exit alternate-route low-crawl no-belongings assembly and no-reentry","Document or pet retrieval; physical smoke drills; damp-cloth advice; suppression rescue first aid hazmat",BFP DepEd/local DRRMO accessibility child-human-factors and current drill-rule review
deped-do-033-s2021-typhoon-flood-school-preparedness,reference,DETERMINISTIC_SYSTEM_RULE;ADULT_HANDOFF_OR_DASHBOARD;SCENARIO_DESIGN_REFERENCE;POLICY_OR_THESIS_BACKGROUND,NO,NONRUNTIME_REFERENCE,"p4;p7-p12;p16-p18;p25-p29","Derive learner role gate warning-following and hazard-reporting only; configure mapping reunification EWS drills and markers locally","Maintenance pruning guy wires drainage utility shutoff; office matrices; local marker colors as PAGASA levels",Current DepEd PAGASA local DRRMO and school approval
