conflict_id,hazards,topic,source_refs,risk,resolution_for_calm,status,required_reviewer
CF-001,typhoon,Outdated cyclone categories,disaster-preparedness-typhoon-0:p2,Older three-category wind classification can contradict current warnings.,"Exclude the classification; use PAGASA's current five-level TCWS reference and never infer a live signal.",RESOLVED_FOR_DRAFT,PAGASA
CF-002,earthquake,Moving vehicle evacuation,ocd-earthquake-preparedness:p1;ocd-disaster-preparedness-guidebook:p7,Exiting a vehicle during or immediately after shaking may expose a learner to traffic and falling hazards.,"Never tell a child passenger to exit; hand off to the responsible driver/adult and an approved vehicle protocol.",CONFLICT_HOLD,PHIVOLCS
CF-003,earthquake,Bring go-bag during school evacuation,earthquake-drill:p1;iecs-for-7-2-earthquake-preparedness-1:p6,Retrieving belongings can delay evacuation and conflicts across school sources.,"The VR assistant never directs retrieval; the school-approved plan and teacher instruction control whether an already-carried kit moves with the class.",CONFLICT_HOLD,DepEd_or_local_DRRMO
CF-004,earthquake,Doorway as protective place,earthquake-drill:p1,Doorway advice may lead a learner away from safer cover and is not used by the newer DepEd learner IEC.,"Exclude doorway advice; use Drop-Cover-Hold On at an approved cover zone.",RESOLVED_FOR_DRAFT,PHIVOLCS
CF-005,typhoon;flood,Floodwater depth threshold,ocd-disaster-preparedness-guidebook:p5;pagasa-floods-web,An above-knee threshold can imply that shallower unknown or moving floodwater is safe.,"No Grade 4 learner enters or crosses floodwater at any depth in CALM.",RESOLVED_FOR_DRAFT,PAGASA
CF-006,fire,Child fire-extinguisher use,volume-1-fire-safety-for-children:p12;p37;p201-p203;p211-p213;p242;phivolcs-project-maghanda-broadcasters-manual-2022:p41,The manuals expose extinguisher steps or supervised use to children; a real event can be misclassified and escape delayed.,"For CALM's Grade 4 runtime the learner alerts, evacuates, and stays out. Extinguisher operation is blocked and adult-only.",CONFLICT_HOLD,BFP
CF-007,fire,Wet cloth against smoke,ocd-disaster-preparedness-guidebook:p10;phivolcs-project-maghanda-broadcasters-manual-2022:p41,A learner may delay escape to wet a cloth or believe it protects from toxic smoke.,"Do not recommend finding or wetting a cloth. Immediate safe escape and low movement under smoke take priority.",CONFLICT_HOLD,BFP
CF-008,fire,Cooking-oil and LPG wet-cloth response,phivolcs-project-maghanda-broadcasters-manual-2022:p42,The source combines hazardous adult fire-suppression and LPG-regulator actions unsuitable for a child.,"Exclude every suppression and LPG-control step from learner retrieval; evacuate and alert an adult/responder.",CONFLICT_HOLD,BFP
CF-009,multi_hazard,Matches candles lighters knives and chemicals in preparation lists,ocd-earthquake-preparedness:p2;ocd-disaster-preparedness-guidebook:p11;iecs-for-7-2-earthquake-preparedness-1:p7;unicef-ph-typhoon:p7,Preparation lists can be misread as permission for a child to handle hazardous items.,"These items are adult-controlled and never learner tasks; child-safe cards list only water food clothing flashlight whistle radio rain gear blanket and comfort item.",RESOLVED_FOR_DRAFT,Child_safety_reviewer
CF-010,multi_hazard,Medication access,ocd-earthquake-preparedness:p2;iecs-for-7-2-earthquake-preparedness-1:p7;unicef-ph-typhoon:p5-p7,The assistant could imply self-medication or unsupervised custody.,"Mention medicine only as managed by a guardian and never give dosing or treatment instructions.",RESOLVED_FOR_DRAFT,Child_safety_reviewer
CF-011,typhoon,Shelter indoors versus evacuation order,ocd-disaster-preparedness-guidebook:p3;unicef-ph-typhoon:p8-p10;phivolcs-project-maghanda-broadcasters-manual-2022:p9-p10,Generic stay-inside guidance can conflict with a new official evacuation order.,"Authenticated evacuation order deterministically supersedes shelter guidance.",RESOLVED_FOR_DRAFT,PAGASA_and_local_DRRMO
CF-012,multi_hazard,Static hotlines and social accounts,iecs-for-7-2-earthquake-preparedness-1:p8;ocd-disaster-preparedness-guidebook:p13;ocd-earthquake-preparedness:p2;phivolcs-project-maghanda-broadcasters-manual-2022:p10;p43;p51,Numbers and accounts can change and a stale contact can waste time.,"Exclude embedded contact details; use only a maintained and deployment-tested contact registry.",RESOLVED_FOR_DRAFT,Deployment_owner
CF-013,earthquake,Coastal evacuation timing,phivolcs-project-maghanda-broadcasters-manual-2022:p50;unicef-ph-typhoon:p12-p13,Immediate coastal evacuation wording can be interpreted as running while shaking is active.,"During shaking use the approved self-protection action; after shaking and only in a coastal-risk or official-alert state move to high ground.",CONFLICT_HOLD,PHIVOLCS
CF-014,typhoon;flood,School flood-marker colors versus PAGASA colors,deped-do-033-s2021-typhoon-flood-school-preparedness:p26-p27,Local physical marker colors may be mistaken for PAGASA rainfall-warning colors.,"Treat school ground markers as a separately named local sensor; never translate them into a PAGASA warning level.",CONFLICT_HOLD,DepEd_and_PAGASA
CF-015,fire,Unsafe or inconsistent child-manual assessment keys,volume-1-fire-safety-for-children:p202;p243;p284;p296;p304;p322-p325,"Visual review confirmed unsafe or inconsistent answer material including marking Use the stairs as NO Fall and crawl as YES and breathing through the nose as YES; extraction can add further column errors.","Quarantine all quiz and answer-key derivatives. Use visually verified narrative pages and a corrected BFP-reviewed CALM assessment bank only.",CONFLICT_HOLD,BFP
CF-016,multi_hazard,Child rescue first aid and utility inspection,ocd-disaster-preparedness-guidebook:p3-p10;phivolcs-project-maghanda-broadcasters-manual-2022:p10;p23-p24;p42;p50-p51,Adult or professional tasks can become unsafe child commands after unstructured retrieval.,"Separate actor roles; learner cards only report injury or missing people and wait for a trained adult/responder.",RESOLVED_FOR_DRAFT,Child_safety_reviewer
CF-017,fire,Breathe through the nose during fire,volume-1-fire-safety-for-children:p202;p243;p304,This can be misread as sufficient smoke protection and encourage exposure.,"Exclude the claim. The learner follows the nearest safe escape route and stays low only when smoke is present.",CONFLICT_HOLD,BFP
CF-018,fire,Emergency calling role and number,volume-1-fire-safety-for-children:p201-p203;p211-p213;p242;p295;p301-p304,The manual alternates between a child calling 911 and alerting adults; device access and location are not guaranteed.,"Primary instruction is alarm or alert an adult while evacuating. A call action is used only when the deployment has an authenticated route and the learner is safe.",CONFLICT_HOLD,BFP_and_local_DRRMO
CF-019,fire,Outdoor or vegetation fire protocol,none,Existing sources do not provide a complete Grade 4 outdoor-fire sequence for the CALM settings.,"Provide only the conservative draft boundary: move away from fire and smoke toward the scenario-approved safe zone and alert an adult; block runtime until BFP/local approval.",NEEDS_CURRENT_SOURCE,BFP_and_local_DRRMO
CF-020,multi_hazard,Local routes assembly points and shelters,deped-do-033-s2021-typhoon-flood-school-preparedness:p8-p9;lrmds-sdrr-manual-book-1:p21-p22,National documents require localization and cannot prove a particular VR route or shelter is safe.,"Store route and assembly IDs as deployment configuration approved by the school and local DRRMO; do not derive them from the LLM.",NEEDS_LOCAL_APPROVAL,School_and_local_DRRMO
CF-021,fire,School fire-drill cadence,volume-3-fire-safety-for-young-adults:p424;philippines-04-irr-of-fire-code-of-the-philippines-2008-irr:p232;fire-safety-guidelines-on-different-types-of-occupancy-volume-2:p191,"Adult BFP sources disagree or may reflect different or superseded requirements; hard-coding a cadence can misstate the current school duty.","Do not expose or hard-code a drill frequency until the current BFP RIRR DepEd rule and local school plan are reconciled.",CONFLICT_HOLD,BFP_and_DepEd_and_school
