source_id,disposition,selected_pages_or_sections,excluded_or_restricted,corpus_role,rationale
20100527-ra-10121-gma,REFERENCE_STATUTORY,"p2-p12 definitions; p15-p19 national warning and information; p22-p27 local planning EWS risk mapping education and coordination",All direct learner retrieval and any child quick-response duty,policy_governance_and_authority_model,"Use for statutory architecture and adult handoff; p26 refers to secondary and tertiary curricula and must not be misstated as a Grade4 mandate."
2015-national-disaster-preparedness-plan-2015-2018-vol-1,REFERENCE_POLICY_CURRENTNESS_REVIEW,"p13-p15 framework; p40-p58 scenario phases and IEC; p59-p79 preparedness and continuity; p96-p99 M&E and local systems","Old workplans agency assignments funding and any unverified live operational rule",policy_system_and_dashboard_design,"The cover says 2015-2028 not 2015-2018; retain for risk-assessed planning EWS evacuation continuity and M&E subject to currentness review."
dilg-memo-no-2015-76-early-preparedness-actions-to-reduce-disaster-risks,REFERENCE_POLICY_LEGACY,"p1-p4 ICS EWS evacuation centers routes drills coordination; p5 signage examples","Staffing procurement funding rescue gauge operation and any claim that old signs or duties are current",policy_scenario_dashboard_and_localization,"Use to require authority warning route center and coordination fields; learners only follow currently approved warnings and signs."
disaster-preparedness-typhoon-0,REFERENCE_LEGACY,p2 official updates drills calm shelter and evacuation,Old cyclone categories; guy wires; structural inspection; BDCC terminology,background_support,"Two-page 2016 brochure is incomplete and predates current PAGASA TCWS."
dti-disaster-preparedness-and-management-operations-manual,ARCHIVED_OUT_OF_SCOPE,None,Entire document,none,"DTI business continuity price monitoring and agency operations do not support a Grade 4 assistant."
dti-disaster-preparedness-and-management-operations-manual1,ARCHIVED_DUPLICATE,None,Entire document,none,"SHA-256 is identical to the other DTI manual."
earthquake-drill,REFERENCE_LEGACY,p1-p2 alarm-protect-evacuate-assemble-headcount sequence,Doorway advice; door handling during shaking; old density assumption; conflicting go-bag rule,school_drill_reference,"Useful 2005 sequence but adult-focused and not sufficient as the current authority."
fire-safety-guidelines-on-different-types-of-occupancy-volume-2,REFERENCE_SCENARIO_DESIGN,p23-p37 educational and day-care occupancy; p191 drill summary,Engineering design; equipment operation; inspections; compliance workflows and forms,scenario_design_and_dashboard,"Use only for VR layout alarm exit accessibility drill and dashboard constraints; never raw learner retrieval and confirm with current BFP requirements."
iecs-for-7-2-earthquake-preparedness-1,APPROVED_PARTIAL,p6 learner actions; p1 and p7 school/go-bag context,p2-p5 background only; adult utility and first-aid tasks; p8 contacts,child_runtime_primary,"DepEd learner IEC provides the strongest school earthquake action page in the local set."
lrmds-sdrr-manual-book-1,REFERENCE_POLICY,p2 governance; p21-p22 routes and mapping; p26 learning design,Adult implementation content; old contacts; hidden-text duplication,scenario_and_governance,"Authoritative school-design reference that explicitly requires localization and review."
ndrrmc-memo-no-54-s-2020-covid19-preparedness-during-rainy-season,ARCHIVED_POLICY_LEGACY,"p1-p4 historical compound-hazard risk resources reporting and evacuation-capacity concepts","2020 distancing mask stay-home QRF and bleach instructions; all learner retrieval",historical_compound_hazard_background,"Retain only for a future health-emergency design review with current DOH and LGU validation."
ocd-disaster-preparedness-guidebook,APPROVED_PARTIAL,p3-p5 typhoon/flood; p7 earthquake; p10 fire; p11 go-bag,Adult repairs utilities first aid suppression; stale contacts; unrelated hazards,child_runtime_support,"Broad bilingual national guide supports selected canonical claims after strict role filtering."
