protocol_id,revision,hazard,settings,phase,criticality,action_code,lifecycle_state,required_approvals,source_refs,conflict_ids,domain_decision,child_safety_decision,language_decision,vr_decision,reviewer_names,review_date,review_notes
EQ-BEF-001,1,earthquake,home;school,before,P2_EDUCATIONAL,LEARN_SAFE_COVER_AND_ROUTE,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF pages 11-12;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 50,,,,,,,,
EQ-BEF-002,1,earthquake,outdoor,before,P2_EDUCATIONAL,RECOGNIZE_OUTDOOR_EARTHQUAKE_HAZARDS,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,iecs-for-7-2-earthquake-preparedness-1:PDF page 6;ocd-disaster-preparedness-guidebook:PDF page 7,,,,,,,,
EQ-BEF-003,1,earthquake,home;school,before,P1_IMPORTANT,REPORT_EARTHQUAKE_HAZARD,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,iecs-for-7-2-earthquake-preparedness-1:PDF page 6;unicef-ph-typhoon:PDF page 11,,,,,,,,
EQ-DUR-001,1,earthquake,home;school,during,P0_CRITICAL,DROP_COVER_HOLD,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,iecs-for-7-2-earthquake-preparedness-1:PDF page 6;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 50;ocd-disaster-preparedness-guidebook:PDF page 7,,,,,,,,
EQ-DUR-002,1,earthquake,home;school,during,P0_CRITICAL,AVOID_FALLING_AND_GLASS_HAZARDS,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,iecs-for-7-2-earthquake-preparedness-1:PDF page 6;ocd-disaster-preparedness-guidebook:PDF page 7,,,,,,,,
EQ-DUR-003,1,earthquake,home;school,during,P0_CRITICAL,WAIT_FOR_SHAKING_TO_STOP,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,earthquake-drill:PDF pages 1-2;iecs-for-7-2-earthquake-preparedness-1:PDF page 6,,,,,,,,
EQ-DUR-004,1,earthquake,outdoor,during,P0_CRITICAL,OUTDOOR_OPEN_AREA_PROTECTION,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,iecs-for-7-2-earthquake-preparedness-1:PDF page 6;unicef-ph-typhoon:PDF page 12,,,,,,,,
EQ-AFT-001,1,earthquake,school,after,P0_CRITICAL,SCHOOL_EVACUATE_AFTER_SHAKING,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,earthquake-drill:PDF pages 1-2;iecs-for-7-2-earthquake-preparedness-1:PDF page 6,CF-003,,,,,,,
EQ-AFT-002,1,earthquake,home,after,P1_IMPORTANT,HOME_EVACUATE_AFTER_SHAKING,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,unicef-ph-typhoon:PDF pages 3 and 13;ocd-disaster-preparedness-guidebook:PDF page 7,,,,,,,,
EQ-AFT-003,1,earthquake,outdoor,after,P0_CRITICAL,OUTDOOR_AFTERSHOCK_SAFETY,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,ocd-disaster-preparedness-guidebook:PDF page 7;unicef-ph-typhoon:PDF page 13,,,,,,,,
EQ-AFT-004,1,earthquake,home;school;outdoor,after,P0_CRITICAL,NO_REENTRY_DAMAGED_STRUCTURE,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,ocd-disaster-preparedness-guidebook:PDF page 7;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 51;phivolcs-earthquake-primer-2026-web:Current PHIVOLCS primer section on affected communities,,,,,,,,
EQ-AFT-005,1,earthquake,home;school;outdoor,after,P1_IMPORTANT,REPORT_INJURY_OR_MISSING_PERSON,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,earthquake-drill:PDF pages 1-2;phivolcs-project-maghanda-broadcasters-manual-2022:PDF pages 50-51,CF-016,,,,,,,
EQ-AFT-006,1,earthquake,home;school;outdoor,after,P0_CRITICAL,REPROTECT_DURING_AFTERSHOCK,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,ocd-disaster-preparedness-guidebook:PDF page 7;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 50,,,,,,,,
EQ-AFT-007,1,earthquake,school,after,P1_IMPORTANT,WAIT_FOR_SCHOOL_EVACUATION_INSTRUCTION,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,earthquake-drill:PDF pages 1-2;iecs-for-7-2-earthquake-preparedness-1:PDF page 6,,,,,,,,
EQ-AFT-008,1,earthquake,school,after,P1_IMPORTANT,SCHOOL_ASSEMBLY_HEADCOUNT,EVIDENCE_LINKED,PHIVOLCS;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,earthquake-drill:PDF pages 1-2;deped-do-033-s2021-typhoon-flood-school-preparedness:PDF page 9,,,,,,,,
FIR-BEF-001,1,fire,home;school,before,P1_IMPORTANT,AVOID_FIRE_STARTERS_AND_HOT_ITEMS,EVIDENCE_LINKED,BFP;DepEd_or_local_DRRMO;Grade_4_child_safety;Filipino_Taglish_language;VR_implementation,volume-1-fire-safety-for-children:PDF pages 210 and 301;phivolcs-project-maghanda-broadcasters-manual-2022:PDF page 41,,,,,,,,
