hazard,setting,phase,card_count,protocol_ids,has_source_gap
fire,home,before,2,FIR-BEF-001;FIR-BEF-002,False
fire,home,during,7,FIR-DUR-001;FIR-DUR-002;FIR-DUR-003;FIR-DUR-004;FIR-DUR-005;FIR-DUR-006;FIR-DUR-007,False
fire,home,after,3,FIR-AFT-001;FIR-AFT-002;FIR-AFT-004,False
fire,school,before,2,FIR-BEF-001;FIR-BEF-002,False
fire,school,during,7,FIR-DUR-001;FIR-DUR-002;FIR-DUR-003;FIR-DUR-004;FIR-DUR-005;FIR-DUR-006;FIR-DUR-007,False
fire,school,after,3,FIR-AFT-001;FIR-AFT-002;FIR-AFT-004,False
fire,outdoor,before,1,FIR-BEF-003,True
fire,outdoor,during,3,FIR-DUR-005;FIR-DUR-007;FIR-DUR-008,True
fire,outdoor,after,3,FIR-AFT-001;FIR-AFT-003;FIR-AFT-004,True
earthquake,home,before,2,EQ-BEF-001;EQ-BEF-003,False
earthquake,home,during,3,EQ-DUR-001;EQ-DUR-002;EQ-DUR-003,False
earthquake,home,after,4,EQ-AFT-002;EQ-AFT-004;EQ-AFT-005;EQ-AFT-006,False
earthquake,school,before,2,EQ-BEF-001;EQ-BEF-003,False
earthquake,school,during,3,EQ-DUR-001;EQ-DUR-002;EQ-DUR-003,False
earthquake,school,after,6,EQ-AFT-001;EQ-AFT-004;EQ-AFT-005;EQ-AFT-006;EQ-AFT-007;EQ-AFT-008,False
earthquake,outdoor,before,1,EQ-BEF-002,False
earthquake,outdoor,during,1,EQ-DUR-004,False
earthquake,outdoor,after,4,EQ-AFT-003;EQ-AFT-004;EQ-AFT-005;EQ-AFT-006,False
typhoon,home,before,3,TYP-BEF-001;TYP-BEF-002;TYP-BEF-005,False
typhoon,home,during,4,TYP-DUR-001;TYP-DUR-004;TYP-DUR-005;TYP-DUR-006,False
typhoon,home,after,4,TYP-AFT-001;TYP-AFT-002;TYP-AFT-004;TYP-AFT-006,False
typhoon,school,before,3,TYP-BEF-001;TYP-BEF-003;TYP-BEF-005,False
typhoon,school,during,5,TYP-DUR-001;TYP-DUR-002;TYP-DUR-004;TYP-DUR-005;TYP-DUR-006,False
typhoon,school,after,4,TYP-AFT-001;TYP-AFT-002;TYP-AFT-003;TYP-AFT-006,False
typhoon,outdoor,before,3,TYP-BEF-001;TYP-BEF-004;TYP-BEF-005,False
typhoon,outdoor,during,3,TYP-DUR-003;TYP-DUR-004;TYP-DUR-005,False
typhoon,outdoor,after,4,TYP-AFT-001;TYP-AFT-002;TYP-AFT-005;TYP-AFT-006,False
